FAA/LGFP,Legal title,Appellation légale,Applied title,Titre d'usage,Abbreviation,Abréviation,Footnote,Note de bas de page
I.1  ,Office of the Correctional Investigator of Canada,Bureau de l'enquêteur correctionnel du Canada,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,OCI,BEC,,
I.1  ,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,PPSC,SPPC,,
I.1  ,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,OSGG,BSGG,,
I.1  ,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,,,,,,
I.1  ,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,PSIC,ISPC,,
I.1  ,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,OSFI,BSIF,,
I.1  ,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l'information et à la protection de la vie privée au Canada,,,OIC,CI,,
I.1  ,Offices of the Information and Privacy Commissioners of Canada,Commissariats à l'information et à la protection de la vie privée au Canada,,,OPC,CPVP,,
I.1  ,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,PacifiCan,PacifiCan,,
I.1  ,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Parole Board of Canada,Commission des libérations conditionnelles du Canada,PBC,CLCC,,
I.1  ,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,PMPRB,CEPMB,,
I.1  ,Privy Council Office,Bureau du Conseil privé,Privy Council Office,Bureau du Conseil privé,PCO,BCP,The corporate signature includes the title “Government of Canada”.,La signature comprend le titre «Gouvernement du Canada».
I.1  ,Public Health Agency of Canada,Agence de la santé publique du Canada,Public Health Agency of Canada,Agence de la santé publique du Canada,PHAC,ASPC,,
I.1  ,Public Service Commission,Commission de la fonction publique,Public Service Commission of Canada,Commission de la fonction publique du Canada,PSC,CFP,,
I.1  ,Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act,Registraire de la Cour suprême du Canada et le secteur de l'administration publique fédérale nommé en vertu du paragraphe 12(2) de la Loi sur la Cour suprême,,,SCC,CSC,,
I.1  ,Royal Canadian Mounted Police,Gendarmerie royale du Canada,,,RCMP,GRC,,
I.1  ,Royal Canadian Mounted Police External Review Committee,Comité externe d’examen de la Gendarmerie royale du Canada,RCMP External Review Committee,Comité externe d'examen de la GRC,ERC,CEE,,
I.1  ,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,SNSICP,SCPSNR,,
I.1  ,Shared Services Canada,Services partagés Canada,Shared Services Canada,Services partagés Canada,SSC,SPC,,
I.1  ,Statistics Canada,Statistique Canada,Statistics Canada,Statistique Canada,StatCan,StatCan,,
I.1  ,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),,,VRAB,TACRA,,
II   ,Canada Border Services Agency,Agence des services frontaliers du Canada,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,ASFC,,
II   ,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,,,,,,
II   ,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,CEIC,CAEC,,
II   ,Canada Revenue Agency,Agence du revenu du Canada,,,CRA,ARC,,
II   ,Canada School of Public Service,École de la fonction publique du Canada,,,CSPS,EFPC,,
II   ,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité,Accessibility Standards Canada,Normes d'accessibilité Canada,ASC,NAC,,
II   ,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,,,CCOHS,CCHST,,
II   ,Canadian Energy Regulator,Régie canadienne de l'énergie,Canada Energy Regulator,Régie de l'énergie du Canada,CER,REC,,
II   ,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,CFIA,ACIA,,
II   ,Canadian High Arctic Research Station,Station canadienne de recherche dans l’Extrême-Arctique,Polar Knowledge Canada,Savoir polaire Canada,POLAR,POLAIRE,,
II   ,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,,,CIHR,IRSC,,
II   ,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,CNSC,CCSN,,
II   ,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,TSB,BST,,
II   ,Invest in Canada Hub,Investir au Canada,,,,,,
II   ,Law Commission of Canada,Commission du droit du Canada,Law Commission of Canada,Commission du droit du Canada,,,,
II   ,National Research Council of Canada,Conseil national de recherches du Canada,National Research Council Canada,Conseil national de recherches Canada,NRC,CNRC,,
II   ,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,NSERC,CRSNG,,
II   ,Parks Canada Agency,Agence Parcs Canada,Parks Canada,Parcs Canada,PC,PC,,
II   ,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,SSHRC,CRSH,,
II   ,The National Battlefields Commission,Commission des champs de bataille nationaux,The National Battlefields Commission,Commission des champs de bataille nationaux,NBC,CCBN,The corporate signature includes the title “Government of Canada”.,La signature comprend le titre «Gouvernement du Canada».
